Time [s],Phase,Hip Joint Angle (R),Knee Joint Angle (R),Ankle Joint Angle (R),Hip Joint Angle (L),Knee Joint Angle (L),Ankle Joint Angle (L)
2.28,PRE-SWING,180,7,77,173,62,76
2.3,PRE-SWING,178,6,76,174,56,84
2.32,PRE-SWING,179,7,77,173,53,80
2.33,PRE-SWING,178,6,77,173,48,74
2.35,LOADING RESPONSE,176,6,76,173,47,70
2.37,LOADING RESPONSE,175,6,77,171,45,68
2.38,LOADING RESPONSE,175,5,75,170,42,70
2.4,LOADING RESPONSE,174,3,73,169,40,72
2.42,LOADING RESPONSE,173,3,74,171,33,67
2.43,LOADING RESPONSE,172,3,74,172,27,61
2.45,LOADING RESPONSE,172,4,72,172,21,66
2.47,LOADING RESPONSE,172,5,75,172,14,69
2.48,LOADING RESPONSE,170,4,73,173,8,75
2.5,LOADING RESPONSE,169,4,73,173,4,76
2.52,LOADING RESPONSE,168,4,72,174,1,79
2.62,LOADING RESPONSE,164,8,64,178,14,84
2.64,LOADING RESPONSE,164,8,63,178,12,85
2.65,LOADING RESPONSE,162,7,64,179,10,83
2.67,LOADING RESPONSE,161,10,61,179,9,79
2.69,LOADING RESPONSE,160,11,61,180,7,75
2.7,LOADING RESPONSE,161,13,61,180,5,76
2.72,LOADING RESPONSE,162,17,57,180,3,79
2.74,LOADING RESPONSE,162,20,57,179,2,79
2.75,LOADING RESPONSE,165,25,58,178,1,77
2.77,LOADING RESPONSE,163,25,61,176,1,78
2.79,LOADING RESPONSE,161,26,64,176,2,76
2.8,LOADING RESPONSE,161,29,73,174,1,77
2.82,LOADING RESPONSE,162,33,75,174,3,75
2.84,LOADING RESPONSE,164,38,71,174,5,75
2.85,LOADING RESPONSE,166,41,78,174,6,73
2.87,LOADING RESPONSE,170,47,80,175,8,74
2.89,LOADING RESPONSE,173,51,84,174,8,76
2.9,LOADING RESPONSE,176,55,84,176,11,74
2.92,LOADING RESPONSE,178,56,83,177,12,72
2.94,PRE-SWING,179,57,75,177,11,72
2.96,PRE-SWING,178,55,81,175,10,70
2.97,PRE-SWING,177,57,75,178,13,69
2.99,PRE-SWING,174,54,86,178,13,68
3.01,PRE-SWING,170,56,81,179,14,65
3.02,INITIAL SWING,167,56,76,179,19,63
3.04,INITIAL SWING,167,53,70,177,24,63
3.06,INITIAL SWING,167,50,55,176,25,61
3.07,INITIAL SWING,167,47,52,177,22,64
